Table No.19 (C),,,,,,,,
"STATEMENT ON REMITTANCE-WISE FDI EQUITY INFLOWS RECEIVED UNDER RBI’s AUTOMATIC ROUTE DURING MAY, 2015",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
448,INGLEWOOD MINERALS PRIVATE LIMITED,Mauritius,INGLEWOOD HOLDING LIMITED,NEW DELHI,Support activities for other mining and quarrying,52.24,0.82,
449,SEMCO FORGE PRIVATE LIMITED,Mauritius,FRONTLINE STRATEGY LIMITED,NEW DELHI,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy",12.16,0.19,
450,NCR BUSINESS PARK PVT LTD (EAR: KAY KAY,Mauritius,NCR Business Park Holding Pvt Ltd (Ear X,NEW DELHI,Construction of buildings carried out on own-account basis or on a fee or contract basis,19.90,0.31,
451,BLISS INNS PRIVATE LIMITED,Mauritius,SEEDFUND2 INTERNATIONAL,NEW DELHI,"Hotels and Motels, inns, resorts providing short term lodging facilities includes accommodation in house",2.30,0.04,
452,BLISS INNS PRIVATE LIMITED,Mauritius,SEEDFUND2 INTERNATIONAL,NEW DELHI,"Hotels and Motels, inns, resorts providing short term lodging facilities includes accommodation in house",0.97,0.02,
453,ZYNKE EXPORTS PRIVATE LIMITED,Mauritius,Zynke Holdings Ltd.,NEW DELHI,Manufacture of all types of textile garments and clothing accessories,4.00,0.06,
454,ANI TECHNOLOGIES PVT LTD,Mauritius,Apoletto Asia Ltd,MUMBAI,Other information technology and computer service activities n.e.c,"1,342.69",21.05,
455,TATA SKY LTD,Mauritius,Baytree Investment (Mauritius) Pte Ltd,MUMBAI,Other satellite telecommunications activities,500.00,7.84,
456,ELARA CAPITAL INDIA PVT LTD,Mauritius,Elara Capital ( Mauritius) Ltd.,MUMBAI,Activities auxiliary to financial service activities n.e.c.,60.00,0.94,
457,VVF (INDIA) LTD,Mauritius,EP Asia Limited,MUMBAI,"Manufacture of cosmetics and toileteries (includes manufacture of preshave, shaving or after shave preparations;",119.85,1.88,
458,GPX INDIA PVT LTD,Mauritius,GPX MAURITIUS LTD,MUMBAI,"Other data processing, hosting and related activities n.e.c.",62.15,0.97,
459,JUNOBO HOTELS PVT LTD,Mauritius,exchange juhu limited,MUMBAI,"Hotels and Motels, inns, resorts providing short term lodging facilities includes accommodation in house",29.86,0.47,
460,ATITHYA INN PRIVATE LIMITED,Mauritius,Nupur SA Investments LLC,AHMEDABAD,"Hotels and Motels, inns, resorts providing short term lodging facilities includes accommodation in house",30.00,0.47,
461,AEGIS ASPIRE CONSULTANCY SERVICES LTD,Mauritius,AGC Holdings Limited,MUMBAI,Telephone based information services,117.89,1.85,
462,AEGIS ASPIRE CONSULTANCY SERVICES LTD,Mauritius,AGC Holdings Limited,MUMBAI,Telephone based information services,157.56,2.47,
463,ADLABS ENTERTAINMENT LTD,Mauritius,Jacob Ballas Capital India Private Limit,MUMBAI,Activities of amusement parks and theme parks,0.00,0.00,
464,OPEE ENERGY PVT LTD,Mauritius,OPEXENERGY INTERNATIONAL LIMITED,MUMBAI,Electric power generation using solar energy,1.32,0.02,
465,OSTRO BHESADA WIND PRIVATE LIMITED,Mauritius,OSTRO RENEWABLE POWER LTD,NEW DELHI,Electric power generation using other non conventional sources,0.10,0.00,
466,BROOKFIELD MULTIPLEX INDIA PVT LTD,Mauritius,Brookfield Multiplex (Mauritius) Limited,MUMBAI,Construction of buildings carried out on own-account basis or on a fee or contract basis,18.54,0.29,
467,REGUS ORCHID BUSINESS CENTRE PVT LTD,Mauritius,REGUS INTERNATIONAL HOLDINGS LIMITED,MUMBAI,Other business support service activities n.e.c.,0.10,0.00,
468,ESSAR STEEL INDIA LTD.,Mauritius,Essar Steel Asia Holdings Ltd.,MUMBAI,Manufacture of other basic iron and steel n.e.c,183.68,2.88,
469,HINDUSTAN CONSTRUCTION COMPANY LTD,Mauritius,Various,MUMBAI,"Construction and maintenance of motorways, streets, roads, other vehicular and pedestrian ways, highways,",764.99,11.99,
470,AEGIS ASPIRE CONSULTANCY SERVICES LTD,Mauritius,AGC Holdings Limited,MUMBAI,Telephone based information services,567.90,8.90,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
471,FAASO'S FOOD SERVICES PVT LTD,Mauritius,SCI Growth Investments II,MUMBAI,"Cafeterias, fast-food restaurants and other food preparation in market stalls",262.51,4.11,
472,FAASO'S FOOD SERVICES PVT LTD,Mauritius,Lightbox Ventures II,MUMBAI,"Cafeterias, fast-food restaurants and other food preparation in market stalls",592.37,9.28,
473,BROOKFIELD MULTIPLEX INDIA PVT LTD,Mauritius,BROOKFIELD MULTIPLEX (MAURITIUS) LlMITED,MUMBAI,Construction of buildings carried out on own-account basis or on a fee or contract basis,32.92,0.52,
474,MAHINDRA LOGISTICS LTD,Mauritius,NORMANDY HOLDINGS LTD,MUMBAI,Rental of private cars with driver,959.12,15.03,
475,VERTEX CUSTOMER MANAGEMENT INDIA PRIVATE,Mauritius,Vertex Business Services,NEW DELHI,Activities of call centres,111.06,1.74,
476,REGUS ORCHID BUSINESS CENTRE PVT LTD,Mauritius,REGUS MAURITIUS COMPANY LIMITED,MUMBAI,Other business support service activities n.e.c.,0.00,0.00,
477,REGUS ELEGANT CENTRES PVT LTD,Mauritius,REGUS INTERNATIONAL HOLDINGS LIMITED,MUMBAI,Other business support service activities n.e.c.,0.10,0.00,
478,REGUS ELEGANT CENTRES PVT LTD,Mauritius,REGUS MAURITIUS COMPANY LIMITED,MUMBAI,Other business support service activities n.e.c.,0.00,0.00,
479,REGUS RADIANT CENTRES PVT LTD,Mauritius,REGUS INTERNATIONAL HOLDINGS LIMITED,MUMBAI,Other business support service activities n.e.c.,0.10,0.00,
480,REGUS RADIANT CENTRES PVT LTD,Mauritius,REGUS MAURITIUS COMPANY LIMITED,MUMBAI,Other business support service activities n.e.c.,0.00,0.00,
481,REGUS HARMONY BUSINESS PARK PVT LTD,Mauritius,REGUS INTERNATIONAL HOLDINGS LIMITED,MUMBAI,Other business support service activities n.e.c.,0.10,0.00,
482,REGUS HARMONY BUSINESS PARK PVT LTD,Mauritius,REGUS MAURITIUS COMPANY LIMITED,MUMBAI,Other business support service activities n.e.c.,0.00,0.00,
483,OSTRO RENEWABLES PRIVATE LIMITED,Mauritius,OSTRO RENEWABLE POWER LIMITED,NEW DELHI,Electric power generation using other non conventional sources,305.00,4.78,
484,OSTRO RENEWABLES PRIVATE LIMITED,Mauritius,OSTRO RENEWABLES PRIVATE LIMITED,NEW DELHI,Electric power generation using other non conventional sources,383.40,6.01,
485,OSTRO RENEWABLES PRIVATE LIMITED,Mauritius,OSTRO RENEWABLES PRIVATE LIMITED,NEW DELHI,Electric power generation using other non conventional sources,78.40,1.23,
486,JASPER INFOTECH PVT LTD,Mauritius,SAAMA CAPITAL II LTD,NEW DELHI,Other information technology and computer service activities n.e.c,6.01,0.09,
487,JASPER INFOTECH PVT LTD,Mauritius,NEXUS INDIA DIRECT INVESTMENT- II,NEW DELHI,Other information technology and computer service activities n.e.c,123.97,1.94,
488,ZOMATO MEDIA PRIVATE LIMITED,Mauritius,SCI Growth Investments II,NEW DELHI,Advertising,"1,553.13",24.34,
489,M/S CYBERABAD CITIZENS HEALTH SERVICES P,Mauritius,CTSI (Mauritius) Limited,HYDERABAD,Hospital activities,15.64,0.25,
490,NOVELROOTS INTERNET PVT LTD,Mauritius,SeedFund2 International,NEW DELHI,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically",1.46,0.02,
491,ZYNKE EXPORTS PRIVATE LIMITED,Mauritius,Choisy Holdings Ltd.,NEW DELHI,Manufacture of all types of textile garments and clothing accessories,39.15,0.61,
492,REGUS ELITE BUSINESS CENTRE PVT LTD,Mauritius,"REGUS INTERNATIONAL HOLDING LIMITED,MAUR",MUMBAI,Other business support service activities n.e.c.,0.10,0.00,
493,REGUS ELITE BUSINESS CENTRE PVT LTD,Mauritius,"Regus Mauritius company limited,mauritiu",MUMBAI,Other business support service activities n.e.c.,0.00,0.00,
494,BROOKFIELD MULTIPLEX INDIA PVT LTD,Mauritius,Brookfield Multiplex (Mauritius) Limited,MUMBAI,Construction of buildings carried out on own-account basis or on a fee or contract basis,29.04,0.46,
495,BODHI BRANDSPRIVATE LIMITED,Mauritius,Kalpataru Ventures Pvt Ltd,MUMBAI,"Manufacture of jewellery of gold, silver and other precious or base metal metal clad with precious metals",1.50,0.02,
496,VIDEOJET TECHNOLOGIES INDIA P L(O/N WILL,Mauritius,Kollmorgen India Investment Company,MUMBAI,"Other retail sale not in stores, stalls or markets",4.87,0.08,
497,BERGGRUEN HOTELS PVT LTD,Mauritius,Berggruen Investment,MUMBAI,"Hotels and Motels, inns, resorts providing short term lodging facilities includes accommodation in house",15.32,0.24,
498,VA TECH VENTURES PVT LTD,Mauritius,SEABRIGHT,KOLKATA,Other information technology and computer service activities n.e.c,9.91,0.16,
499,VA TECH VENTURES PVT LTD,Mauritius,SEABRIGHT,KOLKATA,Other information technology and computer service activities n.e.c,9.51,0.15,
500,THIESS MINECS INDIA PVT LTD,Mauritius,THIESS(MAURITIUS) PTY LTD,KOLKATA,Opencast mining of hard coal,225.00,3.53,
501,HERTZ WIND PARKS PVT LTD,Mauritius,Ecoren Energy Pvt Ltd,HYDERABAD,Electric power generation using other non conventional sources,0.10,0.00,
502,NM INFRASTRUCTURE PRIVATE LIMITED,Mauritius,Munnar International Limited,HYDERABAD,"Storage and warehousing n.e.c.[Includes general merchandise warehouses and warehousing of furniture,",2.69,0.04,
503,BERGGRUEN PROPERTIES (NAGPUR) P LTD,Mauritius,Berggruen Realties,MUMBAI,Construction of buildings carried out on own-account basis or on a fee or contract basis,3.71,0.06,
504,MAD STUDIOS PVT LTD,Mauritius,APF - I (Mauritius) Ltd.,MUMBAI,Production of motion picture,11.37,0.18,
505,MAD STUDIOS PVT LTD,Mauritius,APF- I (Mauritius) Ltd.,MUMBAI,Production of motion picture,12.90,0.20,
506,AIR WORKS INDIA (ENGINEERING) PVT LTD,Mauritius,GTI Capital Delta Pvt Ltd,MUMBAI,"Repair of transport equipment, except motor vehicles",244.00,3.82,
507,GLITTERBUG TECHNOLOGIES PVT LTD,Mauritius,accel india iii mauritius ltd,MUMBAI,Providing software support and maintenance to the clients,2.60,0.04,
508,GLITTERBUG TECHNOLOGIES PVT LTD,Mauritius,SAIF PARTNERS INDIA IV LTD,MUMBAI,Providing software support and maintenance to the clients,2.60,0.04,
509,GLITTERBUG TECHNOLOGIES PVT LTD,Mauritius,ACCEL INDIA III MAURITIUS LTD,MUMBAI,Providing software support and maintenance to the clients,62.40,0.98,
510,GLITTERBUG TECHNOLOGIES PVT LTD,Mauritius,SAIF PARTNERS INDIA IV LTD,MUMBAI,Providing software support and maintenance to the clients,62.40,0.98,
511,MODULEX MODULAR BUILDINGS PVT LTD,Mauritius,M/s REDRIBBON MODULEX BUILDINGS LTD.,KOCHI,Other construction projects n.e.c.,1.00,0.02,
512,M/S RELYSIS MEDICAL DEVICES LIMITED,Mauritius,India Life Sciences Fund II LLC,HYDERABAD,Manufacture of other medical and dental instruments n.e.c.,0.00,0.00,
513,M/S RELYSIS MEDICAL DEVICES LIMITED,Mauritius,India Life Sciences FundII LLC,HYDERABAD,Manufacture of other medical and dental instruments n.e.c.,60.00,0.94,
,,,,,,,,
,,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
514,BGM POLICY INNOVATIONS PRIVATE LIMITED,Mauritius,Aspada Investment  Company,HYDERABAD,Educational support services,29.99,0.47,
515,M/S VISHAL PERSONAL CARE PVT LTD,Mauritius,Peepul Capital Fund III LC,HYDERABAD,"Manufacture of cosmetics and toileteries (includes manufacture of preshave, shaving or after shave preparations;",20.00,0.31,
516,M/S MYSMARTPRICE WEB TECHNOLOGY PRIVATE,Mauritius,Helion Venture Partners II LLC,HYDERABAD,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically",30.00,0.47,
517,M/S MYSMARTPRICE WEB TECHNOLOGY PRIVATE,Mauritius,Accel India III (Mauritius) Ltd,HYDERABAD,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically",30.00,0.47,
518,AVI WIND PARKS PVT LTD,Mauritius,Ecoren Energy Pvt Ltd,HYDERABAD,Electric power generation using other non conventional sources,0.10,0.00,
519,MERITON INFOTECH PRIVATE LIMITED,Mauritius,NEW VERNON PRIVATE EQUITY LIMITED,NEW DELHI,Construction and maintenance of industrial facilities such as refineries chemical plants etc.,33.89,0.53,
520,ORAVEL STAYS PRIVATE LIMITED,Mauritius,Sequoia Capital India Investments IV,NEW DELHI,Activities of travel agents and tour operators,0.34,0.01,
521,OSTRO ANDHRA WIND PRIVATE LIMITED,Mauritius,Ostro Renewable Power Limited,NEW DELHI,Electric power generation using other non conventional sources,0.10,0.00,
522,BREEZE WIND PARKS PRIVATE,Mauritius,Ecoren Energy Private Limited,HYDERABAD,Electric power generation using other non conventional sources,0.10,0.00,
523,ZANSKAR PROPERTIES PVT LTD,Mauritius,VARKEY INVESTMENTS (ONE) LTD,NEW DELHI,Pre-primary education (education preceding the first level),61.90,0.97,
524,EAST WEST SEEDS INDIA PVT LTD,Netherlands,East West Seed International,MUMBAI,Growing of vegetable seeds (except beet seed),67.88,1.06,
525,GROUPON INDIA PRIVATE LIMITED,Netherlands,GROUPON B.V,NEW DELHI,Wholesale trade via e-commerce excluding activities of commission agents,35.62,0.56,
526,BERGGRUEN HOTELS PVT LTD,Netherlands,IMS Benelux Holding Cooperative U.A,MUMBAI,"Hotels and Motels, inns, resorts providing short term lodging facilities includes accommodation in house",151.84,2.38,
527,GROUPON INDIA PRIVATE LIMITED,Netherlands,GROUPON HOLDINGS B.V.,NEW DELHI,Wholesale trade via e-commerce excluding activities of commission agents,231.48,3.63,
528,GROUPON INDIA PRIVATE LIMITED,Netherlands,GROUPON B.V.,NEW DELHI,Wholesale trade via e-commerce excluding activities of commission agents,85.47,1.34,
529,GROUPON INDIA PRIVATE LIMITED,Netherlands,GROUPON B.V.,NEW DELHI,Wholesale trade via e-commerce excluding activities of commission agents,107.12,1.68,
530,NETPAY SOLUTIONS PVT LTD,Netherlands,NET1 APPLIED TECHNOLOGIES B V,MUMBAI,"Other financial service activities, except insurance and pension funding activities, n.e.c.",18.50,0.29,
531,IMCD INDIA PVT LTD,Netherlands,IMCD GROUP BV,MUMBAI,Wholesale of raw milk & dairy products,745.00,11.68,
532,TECH MAHINDRA LTD (MAHINDRA BRITISH TELE,Netherlands,RAVINDRA CHAWLA,MUMBAI,Computer consultancy and computer facilities management activities,1.37,0.02,
533,GROUPON INDIA PRIVATE LIMITED,Netherlands,GROUPON B.V.,NEW DELHI,Wholesale trade via e-commerce excluding activities of commission agents,44.35,0.70,
534,EASYTOBOOK TRAVEL SERVICES PRIVATE LIMIT,Netherlands,EASY TO BOOK HOLDING B.V.,NEW DELHI,Computer consultancy and computer facilities management activities,0.10,0.00,
535,NOKIA SIEMENS NETWORKS,Netherlands,Nokia siemens Networks B V,NEW DELHI,Manufacture of other communication equipments n.e.c.,"2,353.50",36.89,
536,M/S JANPATH RESTAURANTS PRIVATE LIMITED,Netherlands,NANDOS SUB CONTINENT HOLDINGS,NEW DELHI,Bars and Restaurants with bars,35.30,0.55,
537,NOKIA SIEMENS NETWORKS,Netherlands,Nokia Siemens Networks B V,NEW DELHI,"Wholesale of telephone, mobile phone and communications equipment and parts","1,864.21",29.22,
538,TECH MAHINDRA LTD (MAHINDRA BRITISH TELE,Netherlands,RAVINDRA CHAWLA,MUMBAI,Computer consultancy and computer facilities management activities,0.49,0.01,
539,FORTUM TARAPUR HEAT PRIVATE LIMITED (EAR,Netherlands,FORTUM SAR BV,NEW DELHI,Electric power generation by coal based thermal power plants,32.80,0.51,
540,FORTUM TARAPUR HEAT PRIVATE LIMITED (EAR,Netherlands,FORTUM SAR B V,NEW DELHI,Electric power generation by coal based thermal power plants,0.10,0.00,
541,HARSCO TRACK MACHINES AND SERVICES PVT L,Netherlands,Heckett Multiserv Far East B.V.,KOLKATA,Manufacture of railway track materials (unassembled rails) of steel,30.22,0.47,
542,TECH MAHINDRA LTD (MAHINDRA BRITISH TELE,Netherlands,RAVINDRA CHAWLA,MUMBAI,Computer consultancy and computer facilities management activities,1.37,0.02,
543,DARAMIC BATTERY SEPARATOR INDIA PRIVATE,Netherlands,POLYPORE B V,BANGALORE,"Manufacture of electric accumulator incuding parts thereof (separators, containers, covers)",64.17,1.01,
544,PARIXIT INDUSTRIES PVT. LTD.,Netherlands,EMTELLE HOLDINGS BV.,AHMEDABAD,Manufacture of other plastics products n.e.c.,55.00,0.86,
545,FIVE WHEELS PRIVATE LIMITED,Netherlands,BRAM PETRUS MARTINUS VAN DEN BOOM,BANGALORE,Manufacture of motor vehicles n.e.c.,0.66,0.01,
546,FIVE WHEELS PRIVATE LIMITED,Netherlands,JOHANNES LAMBERTUS MARIS VAN DEN BOOM,BANGALORE,Manufacture of motor vehicles n.e.c.,0.03,0.00,
547,INTEVA PRODUCTS INDIA AUTOMATIVE PRIVATE,Netherlands,INTEVA PRODUCTS NETHERLANDS B.V,BANGALORE,"Manufacture of motor vehicle electrical equipment, such as generators, alternators, spark plugs, ignition",87.10,1.37,
548,ADP INDIA PRIVATE LIMITED,Netherlands,ADP NEDERLAND BV,CHENNAI,Combined office administrative service activities,101.06,1.58,
549,SHELL INDIA MARKETS PRIVATE LTD,Netherlands,SHELL GAS B.V,CHENNAI,"Production of liquid and gaseous fuels, illuminating oils, lubricating oils or greases or other products","4,741.61",74.32,
550,TWG WARRANTY SERVICES INDIA PRIVATE LIMI,Netherlands,THE WARRANTY GROUP BV,CHENNAI,Management consultancy activities,1.00,0.02,
551,GRAMEEN KOOTA FINANCIAL SERVICES PRIVATE,Netherlands,CREDIT ACCESS ASIA NV,BANGALORE,"Other financial service activities, except insurance and pension funding activities, n.e.c.","1,077.25",16.88,
552,ARCELOR MITTAL INDIA LTD,Netherlands,OAKEY HOLDING B.V.,PATNA,Manufacture of other basic iron and steel n.e.c,92.38,1.45,
553,JABIL GLOBAL SERVICES INDIA PVT LTD ( EA,Netherlands,Telmar Network Technology BV,NEW DELHI,"Repair and maintenance of automated terminals like automatic teller machines, point-of-sale (POS) terminals,",197.28,3.09,
554,HAMON INDIA THERMAL ENGINEERS& CONTRACTO,Netherlands,HAMON NEDERLAND B.V,MUMBAI,"Production, collection and distribution of steam and hot water for heating, power and other purposes",47.50,0.74,
555,HAMON INDIA THERMAL ENGINEERS& CONTRACTO,Netherlands,HAMON NEDERLAND B V,MUMBAI,Electric power generation by coal based thermal power plants,39.00,0.61,
556,GCC SERVICES INDIA PRIVATE LIMITED,Netherlands,INTERBREW INTERNATIONAL B.V,BANGALORE,Other information technology and computer service activities n.e.c,250.00,3.92,
557,FOKKER ELMO SASMOS,Netherlands,FOKKER ELMO B.V,BANGALORE,Manufacture of other wiring devices and fittings n.e.c.,10.56,0.17,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,INTERCONNECTION SYSTE,,,,,,,
558,SENSATA TECHNOLOGIES INDIA PVT LTD,Netherlands,SENSATA TECHNOLOGIES B.V,BANGALORE,"Wholesale of electrical machinery, equipment and supplies, n.e.c.",42.40,0.66,
559,BASRUR UNISEAL PRIVATE LTD.,Netherlands,RIEKE-LAMONS NEDERLAND HOLDINGS B.V,BANGALORE,"Manufacture of other non-metallic mineral products n.e.c. (includes asbestos yarn and fabric, and articles",93.34,1.46,
560,"METECNO (INDIA) PVT., LTD.,",Netherlands,METECNO HOLDING ASIA BV,CHENNAI,Manufacture of other fabricated metal products n.e.c.,26.09,0.41,
561,FRESH FOOD TECHNOLOGY INDIA PVT LTD,Netherlands,FRESH FOOD TECHNOLOGY B.V,NEW DELHI,Other supporting activities including agricultural gardening (excluding parks and gardening activiti,9.86,0.15,
562,INDUS CONCESSIONS INDIA PVT LTD (ISOLUX,Netherlands,ICC SANDPIPER B.V.,NEW DELHI,Management consultancy activities,160.00,2.51,
