Table No. 19 (c),,,,,,,,,,
"STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS
UNDER RBI’s AUTOMATIC ROUTE
"116
8",GoldVIP Technology Solutions Private Limited,DELHI,South West Delhi,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically updated content",Arindam Bhattacharjee,United Kingdom,37.00,0.50,Received in the Company,
"116
9",GOOD HOST SPACES PRIVATE LIMITED,MAHARASHT RA,Mumbai,"Accommodation provided by student
residences, school dormitories",Baskin Lake Investment Ltd,Mauritius,885.27,12.08,Received in the Company,
"117
0",GOOD HOST SPACES PRIVATE LIMITED,MAHARASHT RA,Mumbai,"Accommodation provided by student residences, school
dormitories",Broad Street Investments Holding (Singapore) Pte Ltd,Singapore,414.73,5.66,Received in the Company,
"117
1",GOODWORKER TECHNOLOGIES PRIVATE LIMITED,DELHI,East Delhi,"Operation of web sites that use a search engine to generate and maintain extensive databases of internet addresses and content in an
easily searchable format",GOODWORKER PTE LTD,Singapore,999.93,13.65,Received in the Company,
"117
2",GOQII TECHNOLOGIES PRIVATE LIMITED,MAHARASHT RA,Mumbai,"Other business
support service activities n.e.c",GOQII INC,U.S.A,72.81,0.98,"Received in
the Company",
"117
3",Gradiant India Private Limited,TAMIL NADU,Chennai,"Water collection, treatment and supply",Gradiant India Holdings Pte Ltd,Singapore,36.14,0.49,Received in the Company,
"117
4",Gradiant India Private Limited,TAMIL NADU,Chennai,"Water collection, treatment and
supply",Gradiant India Holdings Pte Ltd,Singapore,15.39,0.21,"Received in the
Company",
"117
5",Gradiant India Private Limited,TAMIL NADU,Chennai,"Water collection, treatment and supply",Gradiant India Holdings Pte Ltd,Singapore,10.26,0.14,Received in the Company,
"117
6",Gradiant India Private Limited,TAMIL NADU,Chennai,"Water collection, treatment and supply",Gradiant India Holdings Pte Ltd,Singapore,10.67,0.15,Received in the Company,
"117
7",Gradiant India Private Limited,TAMIL NADU,Chennai,"Water collection,
treatment and supply",Gradiant India Holdings Pte Ltd,Singapore,29.36,0.40,"Received in
the Company",
"117
8",GRAEPEL PERFORATIONS INDIA PRIVATE LIMITED,PUNJAB,Mohali,Manufacture of other iron and steel casting and products thereof,FRIEDRICH GRAEPEL AKTIENGESELLSCHAFT,Germany,41.91,0.56,Received in the Company,
"117
9",GRAINPRO INDIA POSTHARVEST TECHNOLOGY PRIVATE LIMITED,MAHARASHT RA,Pune,"Other post harvest crop activities, n.e.c.",GRAINPRO PHILIPPINES INC,Philippines,0.10,0.00,"Received in
the Company",
"118
0",Grameen Foundation India Private Limited,HARYANA,Gurgaon,"Management consultancy
activities",Grameen Foundation USA,U.S.A,1.80,0.02,"Received in the
Company",
"118
1",Graphene Research Labs Private Limited,KARNATAKA,Bengaluru,Research and experimental development on natural sciences and engineering,Richard H Larson,U.S.A,3.55,0.05,Received in the Company,
"118
2",Graphene Research Labs Private Limited,KARNATAKA,Bengaluru,"Research and experimental development on natural sciences and
engineering",Ramon Isidro Pereira Rico,Spain,0.04,0.00,Received in the Company,
"118
3",Graphene Research Labs Private Limited,KARNATAKA,Bengaluru,"Research and experimental development on
natural sciences and engineering",Richard H Larson,U.S.A,0.14,0.00,Received in the Company,
"118
4",GRASSROOTS ENERGY TECHNOLOGIES INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,"Electric power generation using other non conventional
sources",Grassroots Energy Inc.,U.S.A,0.22,0.00,Received in the Company,
"118
5",GRASSROOTS ENERGY TECHNOLOGIES INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,"Electric power generation using other non conventional
sources",Grassroots Energy Inc,U.S.A,0.16,0.00,Received in the Company,
"118
6",GRASSROOTS ENERGY TECHNOLOGIES INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,Electric power generation using other non conventional sources,Grassroots Energy Inc.,U.S.A,0.47,0.01,Received in the Company,
"118
7",GRASSROOTS ENERGY TECHNOLOGIES INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,"Electric power generation using other non conventional
sources",Grassroots Energy Inc,U.S.A,0.48,0.01,Received in the Company,
"118
8",GRASSROOTS ENERGY TECHNOLOGIES INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,"Electric power generation using other non conventional
sources",Grassroots Energy Inc.,U.S.A,2.08,0.03,Received in the Company,
"118
9",GRASSROOTS ENERGY TECHNOLOGIES INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,"Electric power generation using other non conventional
sources",Grassroots Energy Inc.,U.S.A,0.95,0.01,Received in the Company,
"119
0",GREECEANIA MYKONOS FARMERS CREAMARY PRIVATE LIMITED,MAHARASHT RA,Pune,Manufacture of other dairy products n.e.c.,Georgios Syrianos,Greece,3.28,0.04,"Received in
the Company",
"119
1",GREEN & HAPPY LIFE PRIVATE LIMITED,DELHI,South West Delhi,"Other professional, scientific and technical activities
n.e.c.",Kiyoung Shin,South Korea,0.06,0.00,Received in the Company,
"119
2",GREENAM ENERGY PRIVATE LIMITED,TAMIL NADU,Tuticorin,"Electric power
generation using solar energy",AM International Holdings Private Limited,Singapore,52.84,0.72,Greenfield,
"119
3",GREENCONE ENVIRONS PRIVATE LIMITED,CHANDIGAR H,Chandigarh,Manufacture of chemical products or preparations of a,Tanovis AG,Switzerland,11.86,0.16,Received in the Company,
,,,,"kind used in the textiles, paper,
leather and like industries",,,,,,
"119
4",GREENCONE ENVIRONS PRIVATE LIMITED,CHANDIGAR H,Chandigarh,"Manufacture of chemical products or preparations of a kind used in the textiles, paper, leather and like
industries",GREENVALUE SA,Switzerland,0.80,0.01,Received in the Company,
"119
5",GREENKO ENERGIES PRIVATE LIMITED,TELANGANA,Hyderabad,"Electric power generation using other non
conventional sources",Greenko Mauritius,Mauritius,"11,501.43",154.44,Received in the Company,
"119
6",GREENPARK EXPORTS PRIVATE LIMITED,TAMIL NADU,Chennai,"Wholesale of textiles, fabrics, yarn, household linen, articles of clothing, floor coverings and
tapestry, sports clothes",Irfana Begum Binte O K Mohamed Haniffa,Singapore,2.45,0.03,Received in the Company,
"119
7",GREENPARK EXPORTS PRIVATE LIMITED,TAMIL NADU,Chennai,"Wholesale of textiles, fabrics, yarn, household linen, articles of clothing, floor coverings and tapestry, sports clothes",Mohamed Najumudeen Bin Syed Ibrahim,Singapore,2.50,0.03,Received in the Company,
"119
8",GREENPARK EXPORTS PRIVATE LIMITED,TAMIL NADU,Chennai,"Wholesale of textiles, fabrics, yarn, household linen, articles of clothing, floor coverings and tapestry, sports clothes",Irfana Begum Binte O K Mohamed Haniffa,Singapore,2.45,0.03,Received in the Company,
"119
9",GREENPARK EXPORTS PRIVATE LIMITED,TAMIL NADU,Chennai,"Wholesale of textiles, fabrics, yarn, household linen, articles of clothing, floor coverings and tapestry, sports
clothes",Mohamed Najumudeen Bin Syed Ibrahim,Singapore,2.50,0.03,Received in the Company,
120,GREENRHINO TECHNOLOGY,KARNATAKA,Bengaluru,Other information,Loyal VC LP,Canada,7.37,0.10,Received in,
0,PRIVATE LIMITED,,,technology and computer service activities n.e.c,,,,,the Company,
"120
1",GREENS THERMAL ENERGY INDIA PRIVATE LIMITED,TAMIL NADU,Kanchipuram,Construction and maintenance of power plants,Powertech Solutions Limited,United Kingdom,0.90,0.01,Received in the Company,
"120
2",GREENZEST SUN PARK PRIVATE LIMITED,MAHARASHT RA,Mumbai,Electric power generation using solar energy,Cleantech India OA Pte. Ltd.,Singapore,6.30,0.08,Greenfield,
"120
3",GREINER PACKAGING INDIA PRIVATE LIMITED,DELHI,South Delhi,"Manufacture of plastic articles for the packing of goods (plastic bags, sacks, containers, boxes,
cases, carboys, bottles etc.)",Greiner Packaging International GmbH,Austria,176.00,2.36,Received in the Company,
"120
4",Grofers India Private Limited,HARYANA,Gurgaon,Other business support service activities n.e.c,Grofers International Pte. Ltd.,Singapore,"1,813.07",24.35,Received in the Company,
"120
5",Grofers India Private Limited,HARYANA,Gurgaon,"Other business support service
activities n.e.c",Grofers International Pte. Ltd,Singapore,298.91,4.06,"Received in the
Company",
"120
6",Grofers India Private Limited,HARYANA,Gurgaon,Other business support service activities n.e.c,Grofers International Pte. Ltd,Singapore,366.79,4.99,Received in the Company,
"120
7",Ground Truth Technology Private Limited,MAHARASHT RA,Thane,Other information technology and computer service activities n.e.c,ANURAAG BHATNAGAR,Thailand,5.89,0.08,Received in the Company,
"120
8",GROVER ZAMPA VINEYARDS LTD,MAHARASHT RA,Mumbai,Manufacture of wines,VisVires Indian Wineries Pte Ltd.,Singapore,16.52,0.23,Received in the Company,
"120
9",GROVER ZAMPA VINEYARDS LTD,MAHARASHT RA,Mumbai,Manufacture of wines,VisVires Indian Wineries 2 Master Fund Pte Ltd.,Singapore,23.02,0.31,"Received in the
Company",
"121
0",Grow Indigo Private Limited,MAHARASHT RA,Mumbai,Manufacture of other fertilizers n.e.c.,Indigo Ag Inc.,U.S.A,36.50,0.50,"Received in
the Company",
"121
1",GROWTHPOND TECHNOLOGY PRIVATE LIMITED,MAHARASHT RA,Mumbai,Other information service activities n.e.c.,"Lightspeed India Partners II, LLC",Mauritius,185.91,2.50,Received in the Company,
"121
2",GROWTHPOND TECHNOLOGY PRIVATE LIMITED,MAHARASHT RA,Mumbai,"Other information service activities
n.e.c.",Oriel Holdings LLC,U.S.A,1.48,0.02,"Received in the
Company",
"121
3",GROWTHPOND TECHNOLOGY PRIVATE LIMITED,MAHARASHT RA,Mumbai,Other information service activities n.e.c.,Hemanth Kumar Thangudu,U.S.A,1.48,0.02,Received in the Company,
"121
4",GROWTHPOND TECHNOLOGY PRIVATE LIMITED,MAHARASHT RA,Mumbai,Other information service activities n.e.c.,Shaan V Puri,U.S.A,1.48,0.02,Received in the Company,
"121
5",GROWTHPOND TECHNOLOGY PRIVATE LIMITED,MAHARASHT RA,Mumbai,Other information service activities n.e.c.,"Matrix Partners India Investments III, LLC",Mauritius,181.64,2.44,Received in the Company,
"121
6",GROWTHPOND TECHNOLOGY PRIVATE LIMITED,MAHARASHT RA,Mumbai,Other information service activities n.e.c.,"Fund II, A Series of Weekend Fund, LP",U.S.A,11.01,0.15,Received in the Company,
"121
7",GROWTHPOND TECHNOLOGY PRIVATE LIMITED,MAHARASHT RA,Mumbai,Other information service activities n.e.c.,Sprout Investments II,Mauritius,20.55,0.28,Received in the Company,
"121
8",GTTAPP GLOBAL INDIA PRIVATE LIMITED,DELHI,South West Delhi,Motorised road freight transport,GETTRANSPORT INTERNATIONAL LIMITED,Cyprus,0.10,0.00,"Received in
the Company",
"121
9",GUARDICORE INDIA PRIVATE LIMITED,MAHARASHT RA,Pune,"Other professional, scientific and technical activities
n.e.c.",Guardicore Inc,U.S.A,0.00,0.00,Received in the Company,
"122
0",GUARDICORE INDIA PRIVATE LIMITED,MAHARASHT RA,Pune,"Other professional, scientific and technical activities n.e.c.",Guardicore Ltd,Israel,0.19,0.00,Received in the Company,
"122
1",GUARDICORE INDIA PRIVATE LIMITED,MAHARASHT RA,Pune,"Other professional, scientific and
technical activities n.e.c.",Guardicore Ltd,Israel,0.60,0.01,Received in the Company,
"122
2",GUARDICORE INDIA PRIVATE LIMITED,MAHARASHT RA,Pune,"Other professional, scientific and
technical activities n.e.c.",GUARDICORE LTD,Israel,1.45,0.02,Received in the Company,
"122
3",GUINDY ENGINEERING SOLUTIONS INDIA PRIVATE LIMITED,TAMIL NADU,Chennai,"Other professional, scientific and technical activities
n.e.c.",PATURI CHAKRADHAR,U.S.A,20.00,0.27,Received in the Company,
"122
4",GUINDY ENGINEERING SOLUTIONS INDIA PRIVATE LIMITED,TAMIL NADU,Chennai,"Other professional, scientific and
technical activities n.e.c.",PATURI CHAKRADHAR,U.S.A,15.00,0.20,Received in the Company,
"122
5",Gully Network Retail Private Limited,KARNATAKA,Bengaluru,Retail sale of other food products n.e.c.,Rahul Bekal,UAE,0.27,0.00,"Received in the
Company",
"122
6",GURIT WIND PRIVATE LIMITED,MAHARASHT RA,Pune,"Manufacture of other
special-purpose machinery n.e.c.",GURIT HOLDING AG,Switzerland,119.99,1.64,"Received in
the Company",
"122
7",GVS FILTER INDIA PRIVATE LIMITED,MAHARASHT RA,Mumbai,Manufacture of filtering and purifying machinery or,GVS SPA,Italy,0.10,0.00,Received in the Company,
,,,,apparatus for liquids and gases,,,,,,
"122
8",HAATI PERSONALISED GREETING PRIVATE LIMITED,MAHARASHT RA,Mumbai,Other printing activities like screen printing other than textile n.e.c.,Sundeep Madhusudan Gohil,United Kingdom,0.70,0.01,Received in the Company,
"122
9",HAI PROSPEROUS ADVANCED MATERIAL INDIA PRIVATE LIMITED,MAHARASHT RA,Pune,Wholesale of plastic materials in primary forms,Qingdao Ust Polymer Testing Company Limited,China,0.68,0.01,Received in the Company,
"123
0",HAI PROSPEROUS ADVANCED MATERIAL INDIA PRIVATE LIMITED,MAHARASHT RA,Pune,Wholesale of plastic materials in primary forms,Qingdao Science And Technology Industry Park For Advanced Material Company Limited,China,6.16,0.08,Received in the Company,
"123
1",Hain Future Natural Products Private Limited,HARYANA,Gurgaon,"Manufacture of malted foods including foods for
infants and handicapped",HISTON SWEET SPREADS LIMITED,United Kingdom,6.00,0.08,Received in the Company,
"123
2",Hain Future Natural Products Private Limited,HARYANA,Gurgaon,"Manufacture of malted foods including foods for infants and
handicapped",HISTON SWEET SPREADS LIMITED,United Kingdom,12.50,0.17,Received in the Company,
"123
3",Hakimo AI India Private Limited,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Hakimo Inc,U.S.A,0.10,0.00,Received in the Company,
"123
4",HALLMARK IT HEALTHCARE SOLUTIONS PRIVATE LIMITED,Telangana,Hyderabad,"Other information technology and
computer service activities n.e.c",ISAAC ULLATIL,U.S.A,0.00,0.00,Received in the Company,
"123
5",HALLMARK IT HEALTHCARE SOLUTIONS PRIVATE LIMITED,Telangana,Hyderabad,"Other information technology and computer service
activities n.e.c",HALLMARK HEALTH CARE SOLUTION INC,U.S.A,0.10,0.00,Received in the Company,
"123
6",HAMILTON MEDICAL INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,"Wholesale of scientific, medical and surgical
machinery and equipment",HAMILTON MEDICAL AG,Switzerland,5.93,0.08,Received in the Company,
"123
7",HAMILTON MEDICAL INDIA PRIVATE LIMITED,DELHI,South Delhi,"Wholesale of scientific, medical and surgical
machinery and equipment",HAMILTON MEDICAL AG,Switzerland,5.94,0.08,Received in the Company,
"123
8",Hamlai Industries Private Limited,GUJARAT,Ahmedabad,Manufacture of other articles n.e.c.,AJAY AJIT KUMAR KARSANDAS,Oman,19.74,0.27,GREENFIE LD,
"123
9",Hamlai Industries Private Limited,GUJARAT,Ahmedabad,Manufacture of other articles n.e.c.,SUJAY AJIT KUMAR KARSANDAS,Oman,19.74,0.27,GREENFIE LD,
"124
0",HAMMERHEAD SHARK INDIA PRIVATE LIMITED,MAHARASHT RA,Pune,"Other information technology and
computer service activities n.e.c",AutOMattic A8C Ireland Limited,Ireland,5.00,0.07,Received in the Company,
"124
1",HANJOO INDIA PRIVATE LIMITED,DELHI,North West Delhi,Manufacture of other communication equipments n.e.c.,Hanjoo Semiconductor Co. Ltd.,South Korea,0.10,0.00,Received in the Company,
"124
2",HANJOO INDIA PRIVATE LIMITED,DELHI,North West Delhi,"Manufacture of other
communication equipments n.e.c.",Jang Jae Chul,South Korea,0.00,0.00,"Received in
the Company",
"124
3",HANSCNC TECH PRIVATE LIMITED,DELHI,North West Delhi,Manufacture of other communication equipments n.e.c.,Hong Ick Sun,South Korea,0.10,0.00,Received in the Company,
"124
4",HAPPY BAR NUTRITION FOUNDATION,KARNATAKA,Bengaluru,"Manufacture of other cocoa, chocolate,
sugar confectionery products n.e.c.",Happy Bar Nutrition Inc.,U.S.A,0.05,0.00,Received in the Company,
"124
5",Happyeasygo India Private Limited,DELHI,South West Delhi,Travel agency activities,HappyEasyGo Group Pte. Ltd.,Singapore,106.23,1.44,Received in the Company,
"124
6",HAQDARSHAK EMPOWERMENT SOLUTIONS PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and
computer service activities n.e.c",Acumen Fund Inc.,U.S.A,22.70,0.30,Received in the Company,
"124
7",HAQDARSHAK EMPOWERMENT SOLUTIONS PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and
computer service activities n.e.c",Upaya Social Ventures,U.S.A,3.75,0.05,Received in the Company,
"124
8",Harappa Learning Private Limited,DELHI,South Delhi,"OTHER
EDUCATIONAL SERVICES N.E.C.",Lupa India Systems Holdings LLC,U.S.A,328.18,4.41,"Received in
the Company",
"124
9",HASSAN THERMAL POWER PRIVATE LIMITED,KARNATAKA,Bengaluru,"Electric power generation by coal based thermal
power plants",ERWIN SUI,Canada,0.44,0.01,Received in the Company,
"125
0",HAVAS WORLDWIDE INDIA PRIVATE LIMITED,MAHARASHT RA,Mumbai,Advertising,HAVAS PARTICIPATIONS,France,90.00,1.23,"Received in
the Company",
"125
1",HBITS PROPTECH PRIVATE LIMITED,MAHARASHT RA,Mumbai,Real estate activities on a fee or contract basis,Alastair James Macleod,United Kingdom,1.20,0.02,Received in the Company,
"125
2",HCT SUN (INDIA) PRIVATE LIMITED,MAHARASHT RA,Mumbai,"Electric power generation using
solar energy",HCT SUN LLC,U.S.A,1.30,0.02,"Received in the
Company",
"125
3",HDFC Standard Life Insurance Company Limited,MAHARASHT RA,Mumbai,Life insurance,Fouzy Mohammed Sheifuddin,UAE,0.99,0.01,Received in the Company,
"125
4",HDFC Standard Life Insurance Company Limited,MAHARASHT RA,Mumbai,Life insurance,Rahul Prabhakar Prasad,UAE,4.39,0.06,Received in the Company,
"125
5",HEADSHUO INDUSTRIES PRIVATE LIMITED,GUJARAT,Ahmedabad,Manufacture of basic chemical elements,Weifang Haoshuo Biotechnolog. Co. Ltd.,China,0.21,0.00,Received in the Company,
"125
6",HEALIUM DIGITAL HEALTHCARE PRIVATE LIMITED,KARNATAKA,Bengaluru,"Activities of independent diagnostic/pathologi
cal laboratories",Entrepreneur First Operations Ltd,United Kingdom,0.03,0.00,Received in the Company,
"125
7",HEALIUM DIGITAL HEALTHCARE PRIVATE LIMITED,KARNATAKA,Bengaluru,"Activities of independent diagnostic/pathologi
cal laboratories",Entrepreneur First (Global) L.P,United Kingdom,4.12,0.06,Received in the Company,
"125
8",Health Arx Technologies Private Limited,DELHI,South West Delhi,"Other data processing, hosting
and related activities n.e.c.",LEO CAPITAL FUND I,Mauritius,16.97,0.23,Received in the Company,
