Table No.19 (b),,,,,,,,,,
"STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS UNDER ACQUISITION OF SHARES ROUTE
681,The Bombay Dyeing and Manufacturing Company Limited,MAHARASHTRA,Mumbai,Real estate activities with own or leased property,Baymanco Investments Limited,Mauritius,71.94,0.97,Received in the Company,
682,Think & Learn Private Limited,KARNATAKA,Bengaluru,"General school education in the second stage of the secondary level (Senior/Higher secondary) giving, in
principle, access to higher education",MIH Edtech Investments B.V.,Netherland,"1,190.63",16.19,Received in the Company,
683,Think & Learn Private Limited,KARNATAKA,Bengaluru,"General school education in the second stage of the secondary level (Senior/Higher secondary) giving, in principle, access to higher education",A&Q Metric SPC – Fir Tree Opportunistic II SP,Cayman Islands,"4,941.27",67.44,Received in the Company,
684,Think & Learn Private Limited,KARNATAKA,Bengaluru,"General school education in the second stage of the secondary level
(Senior/Higher secondary) giving, in principle, access to higher education","COPFORD ED INDIA, LLC",U.S.A,443.85,6.06,Received in the Company,
685,Think & Learn Private Limited,KARNATAKA,Bengaluru,"General school education in the second stage of the secondary level
(Senior/Higher secondary) giving, in principle, access to higher education","TCDS INDIA, LP",U.S.A,348.25,4.75,Received in the Company,
686,Think & Learn Private Limited,KARNATAKA,Bengaluru,"General school education in the second stage of the secondary level (Senior/Higher secondary) giving, in principle, access to higher education","TCDS India, LP",U.S.A,225.73,3.08,Received in the Company,
687,Think & Learn Private Limited,KARNATAKA,Bengaluru,"General school education in the second stage of the secondary level
(Senior/Higher secondary) giving, in principle, access to higher education","TIGA INDIA, LP",U.S.A,215.66,2.93,Received in the Company,
688,Three Thirty Fifth Industries Private Limited,DELHI,South Delhi,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories such as gloves, ties, braces etc.",335 Bazaar Inc.,U.S.A,0.07,0.00,Received in the Company,
689,Timex Group India Limited,DELHI,Central Delhi,"Manufacture of watches and clocks, including instrument panel clocks (except time-recording equipment)",Timex Group Luxury Watches B.V.,Netherland,0.01,0.00,Received in the Company,
690,TIPPING MR PINK PRIVATE LIMITED,DELHI,Central Delhi,Restaurants without bars,RB Investments Pte. Ltd.,Singapore,6.61,0.09,Received in the,
,,,,,,,,,Company,
691,TNN TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,LEUCINE INC.,U.S.A,0.01,0.00,Received in the Company,
692,Toppr Technologies Private Limited,MAHARASHTRA,Mumbai,EDUCATION,Kaizen Private Equity II PTE. LTD.,Singapore,75.19,1.03,Received in the Company,
693,Toursoft Private Limited,MAHARASHTRA,Pune,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page
designing",JAPAN TRAVEL KK,Japan,1.74,0.02,Received in the Company,
694,Toursoft Private Limited,MAHARASHTRA,Pune,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page
designing",JAPAN TRAVEL KK,Japan,0.20,0.00,Received in the Company,
695,"TREENI CAPITAL
MANAGEMENT PRIVATE LIMITED",GUJARAT,Ahmedabad,Management of other investment funds,RAJESH SUSHELA NAMBIAR,U.S.A,0.08,0.00,"Received
in the Company",
696,TRIKAISER TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Sandeep Singh,U.S.A,0.61,0.01,Received in the Company,
697,TRIOMICS HEALTHCARE PRIVATE LIMITED,UTTAR PRADESH,Gautam Buddha Nagar,Other information service activities n.e.c.,Triomics Inc.,U.S.A,0.06,0.00,Received in the Company,
698,Tubacex Prakash India P Ltd,MAHARASHTRA,Mumbai,Manufacture of tube and tube fittings of basic iron and steel,Tubacex SA,Spain,506.16,6.91,Received in the Company,
699,TULSI PALACE RESORT PRIVATE LIMITED,RAJASTHAN,Jaipur,"Hotels and Motels, inns, resorts providing short term lodging facilities; includes accommodation in house boats","BSREP III Joy Two
Holdings (DIFC) Limited",UAE,"2,150.00",29.23,Received in the Company,
700,TURTLE SHELL TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Seabright III Limited,Mauritius,3.60,0.05,Received in the Company,
701,TURTLE SHELL TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Seabright III Limited,Mauritius,0.93,0.01,Received in the Company,
702,TWIG LABS PRIVATE LIMITED,UTTAR PRADESH,Lucknow,Other information technology and computer service activities n.e.c,"TWIG TECHNOLOGIES, INC.",U.S.A,0.02,0.00,"Received in the
Company",
703,Uber Health Tech Private Limited,KARNATAKA,Bengaluru,"Writing, modifying, testing of computer program to meet the needs of a
particular client excluding web-page designing",RoundGlass LLC,U.S.A,4.24,0.06,Received in the Company,
704,Uber Techlabs Pvt Ltd,TELANGANA,Hyderabad,Software installation,ServiceNow Nederland B.V.,Netherland,"1,023.26",13.74,"Received in the
Company",
705,Uber Techlabs Pvt Ltd,TELANGANA,Hyderabad,Software installation,ServiceNow Pte. Ltd,Singapore,10.85,0.15,"Received
in the Company",
706,"UNIPHORE SOFTWARE
SYSTEMS PRIVATE LIMITED",TAMIL NADU,Chennai,Data processing activities including report writing,TS-JPM LLC,U.S.A,107.73,1.45,"Received
in the Company",
707,UNIPHORE SOFTWARE SYSTEMS PRIVATE LIMITED,TAMIL NADU,Chennai,Data processing activities including report writing,Sistema Asia Fund Pte Ltd,Singapore,4.70,0.06,Received in the Company,
708,United For Her Private Limited,HARYANA,Gurgaon,"Other data processing, hosting and related activities n.e.c.",United We Care Pte. Ltd.,Singapore,0.00,0.00,"Received in the
Company",
709,United For Her Private Limited,HARYANA,Gurgaon,"Other data processing, hosting and related activities n.e.c.",United We Care Pte. Ltd.,Singapore,0.00,0.00,Received in the Company,
710,UPGRAD EDUCATION PRIVATE LIMITED,MAHARASHTRA,Mumbai,OTHER EDUCATIONAL SERVICES N.E.C.,MacRitchie Investments Pte Ltd,Singapore,467.25,6.35,"Received in the
Company",
711,UPGRAD EDUCATION PRIVATE LIMITED,MAHARASHTRA,Mumbai,OTHER EDUCATIONAL SERVICES N.E.C.,MacRitchie Investments Pte Ltd,Singapore,551.54,7.50,"Received
in the Company",
712,UPGRAD EDUCATION PRIVATE LIMITED,MAHARASHTRA,Mumbai,OTHER EDUCATIONAL SERVICES N.E.C.,MacRitchie Investments Pte Ltd,Singapore,13.32,0.18,Received in the Company,
713,UPGRAD EDUCATION PRIVATE LIMITED,MAHARASHTRA,Mumbai,OTHER EDUCATIONAL SERVICES N.E.C.,MacRitchie Investments Pte Ltd,Singapore,350.00,4.76,Received in the Company,
714,ValueFirst Digital Media Private Limited,DELHI,South West Delhi,Data processing activities including report writing,TWILIO IRELAND LIMITED,Ireland,"2,819.76",37.86,Received in the Company,
715,VANAMALI ORGANICS PRIVATE LIMITED,TELANGANA,K.V.Rangareddy,MANUFACTURE OF ORGANIC AND INORGANIC CHEMICAL COMPOUNDS N.E.C.,Wavelength Enterprises Limited,Israel,373.46,5.10,Received in the Company,
716,VEDANTA LIMITED,MAHARASHTRA,Mumbai,Manufacture of Aluminium from alumina and by other methods and products of aluminium and alloys,Vedanta Holdings Mauritius II Limited,Mauritius,"5,979.66",81.61,Received in the Company,
717,VEDANTA LIMITED,MAHARASHTRA,Mumbai,Manufacture of Aluminium from alumina and by other methods and products of aluminium and alloys,Twin Star Holdings Limited,Mauritius,"56,739.13",774.41,Received in the Company,
718,VEDANTA LIMITED,MAHARASHTRA,Mumbai,"Manufacture of Aluminium from alumina and by other methods and products of
aluminium and alloys",Vedanta Holdings Mauritius Limited,Mauritius,"25,225.54",344.29,"Received in the
Company",
719,Vedicinals India Private Limited,MAHARASHTRA,PUNE CITY,Wholesale of other basic/manufactured food stuffs n.e.c.,Health-Shield GMBH,Germany,0.01,0.00,"Received
in the Company",
720,VELLVETTE LIFESTYLE PRIVATE LIMITED,MAHARASHTRA,Mumbai,Retail sale of perfumery and cosmetic articles,ELEVATION CAPITAL VI LIMITED,Mauritius,134.39,1.80,Received in the Company,
721,VENTURE CATALYSTS PRIVATE LIMITED,MAHARASHTRA,Mumbai,Management consultancy activities,RA HOSPITALITY HOLDINGS CO. PTE LTD,Singapore,7.50,0.10,"Received in the
Company",
722,VENTURE CATALYSTS,MAHARASHTRA,Mumbai,Management consultancy activities,RA Hospitality Holdings Co.,Singapore,11.85,0.16,Received,
,PRIVATE LIMITED,,,,Pte Ltd.,,,,in the Company,
723,VENUS ETHOXYETHERS PRIVATE LIMITED,GOA,North Goa,Manufacture of basic chemicals,Harcros India LLC,U.S.A,17.85,0.24,"Received
in the Company",
724,VENUS ETHOXYETHERS PRIVATE LIMITED,GOA,North Goa,Manufacture of basic chemicals,Harcros India LLC,U.S.A,19.83,0.27,Received in the Company,
725,VENUS ETHOXYETHERS PRIVATE LIMITED,GOA,North Goa,Manufacture of basic chemicals,Harcros India LLC,U.S.A,7.30,0.10,"Received
in the Company",
726,VENUS ETHOXYETHERS PRIVATE LIMITED,GOA,North Goa,Manufacture of basic chemicals,Harcros India LLC,U.S.A,0.81,0.01,Received in the Company,
727,VENUS ETHOXYETHERS PRIVATE LIMITED,GOA,North Goa,Manufacture of basic chemicals,Harcros India LLC,U.S.A,1.98,0.03,"Received in the
Company",
728,Venus Music Private Limited,MAHARASHTRA,Mumbai,Activities of sound recording in studio or elsewhere,Believe International,Luxembourg,25.50,0.34,"Received
in the Company",
729,VEOL MEDICAL TECHNOLOGIES PVT LTD,MAHARASHTRA,THANE,Manufacture of other medical and dental instruments n.e.c.,Connimed Concepts Inc.,Canada,3.72,0.05,Received in the Company,
730,VER SE INNOVATION PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,"KB Securities Co., Ltd., in its capacity as trustee of Ark India Contents Platform Private Investment Trust",South Korea,186.39,2.53,Received in the Company,
731,VINCULUM SOLUTIONS PRIVATE LIMITED,DELHI,South Delhi,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page
designing",Neil Araujo Valentino,U.S.A,3.76,0.05,Received in the Company,
732,VINCULUM SOLUTIONS PRIVATE LIMITED,DELHI,South Delhi,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",Anshu Gupta Revocable Trust,U.S.A,3.13,0.04,Received in the Company,
733,"VIRESCENT INFRASTRUCTURE
INVESTMENT MANAGER PRIVATE LIMITED",MAHARASHTRA,Mumbai,"Other financial service activities, except insurance and pension funding activities, n.e.c.",Terra Asia Holdings II Pte Ltd,Singapore,0.05,0.00,Received in the Company,
734,"VIRESCENT INFRASTRUCTURE INVESTMENT MANAGER
PRIVATE LIMITED",MAHARASHTRA,Mumbai,"Other financial service activities, except insurance and pension funding activities, n.e.c.",Terra Asia Holdings II Pte Ltd,Singapore,0.05,0.00,Received in the Company,
735,Visotec Corporate Identity Solutions Private Limited,MAHARASHTRA,Pune,Manufacture of other fabricated metal products n.e.c.,Visotec SAS,France,0.01,0.00,Brownfield,
736,VITRAK INSURANCE BROKERS PRIVATE LIMITED,DELHI,South West Delhi,Activities of insurance agents and brokers,GROMO INC,U.S.A,7.50,0.10,Received in the Company,
737,VITRAK TECHNOLOGIES,DELHI,South West Delhi,Other information technology and,GROMO INC,U.S.A,0.01,0.00,Received,
,PRIVATE LIMITED,,,computer service activities n.e.c,,,,,in the Company,
738,VOLCANO SOCIAL PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Volcano Inc.,U.S.A,0.01,0.00,"Received
in the Company",
739,VOOTH TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,NIJO INC,Japan,0.07,0.00,Received in the Company,
740,VOSTA TECHNOLOGY PRIVATE LIMITED,Telangana,Hyderabad,Other information technology and computer service activities n.e.c,N G ENTERTAINMENT LIMITED,Malta,0.26,0.00,"Received
in the Company",
741,webdunia.Com (India) Private Limited,MAHARASHTRA,Mumbai,Other information technology and computer service activities n.e.c,RWS UK Holding Co Limited,United Kingdom,303.07,4.14,Received in the Company,
742,webdunia.Com (India) Private Limited,MAHARASHTRA,Mumbai,Other information technology and computer service activities n.e.c,RWS UK Holding Co Limited,United Kingdom,322.78,4.39,"Received in the
Company",
743,Webjag Software Private Limited,GUJARAT,Gandhi Nagar,Publishing of operating systems and system software,Bachir Kassir,U.S.A,0.09,0.00,"Received
in the Company",
744,WELLNESYS TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,"Wellnesys, Inc.",U.S.A,0.36,0.00,Received in the Company,
745,"WESTERN INDIA CASHEW COMPANY
PRIVATE LIMITED",TAMIL NADU,Coimbatore,Processing of edible nuts,GANESH R NAIR,U.S.A,22.67,0.31,"Received in the
Company",
746,WHITESHEEP TECHNOLOGY PRIVATE LIMITED,MAHARASHTRA,Thane,Computer consultancy and computer facilities management activities,"HARSH VAKHARIA, NOMINEE SHAREHLDER OF INVIDOE INNOVATION PTE LIMITED",Singapore,0.00,0.00,Received in the Company,
747,WINTAC LIMITED,KARNATAKA,Bangalore Rural,Manufacture of allopathic pharmaceutical preparations,VEEGO PHARMA LLC,U.S.A,5.06,0.07,Brownfield,
748,WINTAC LIMITED,KARNATAKA,Bangalore Rural,Manufacture of allopathic pharmaceutical preparations,VEEGO PHARMA LLC,UAE,1.36,0.02,Brownfield,
749,WINTAC LIMITED,KARNATAKA,Bangalore Rural,Manufacture of allopathic pharmaceutical preparations,VEEGO PHARMA LLC,U.S.A,5.19,0.07,Brownfield,
750,WISE R&D INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,WISE COMPANY,U.S.A,0.10,0.00,"Received
in the Company",
751,WISE R&D INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,WISE COMPANY,U.S.A,0.10,0.00,"Received in the
Company",
752,Wow Momo Foods Private Limited,WEST BENGAL,Kolkata,"Cafeterias, fast-food restaurants and other food preparation in market stalls",INTERNET FUND V PTE LTD,Singapore,2.68,0.04,Received in the Company,
753,XR CINEMA PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Other professional, scientific and technical activities n.e.c.",Iconic Engine Inc,U.S.A,0.10,0.00,Received in the Company,
754,XTRACHEF,TAMIL NADU,Chennai,Providing software support and,"XTRA CHEF, INC",U.S.A,28.91,0.39,Received,
,TECHNOLOGIES (INDIA) PRIVATE LIMITED,,,maintenance to the clients,,,,,in the Company,
755,YANTRA HEALTH PRIVATE LIMITED,KARNATAKA,BENGALURU,"Research and experimental
development on natural sciences and engineering",Abhishek Kishore,U.S.A,0.00,0.00,Greenfield,
756,YDC TECHNOLOGIES INDIA PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other information technology and computer service activities n.e.c,"YourDataConnect, LLC",U.S.A,0.05,0.00,Received in the Company,
757,YDC TECHNOLOGIES INDIA PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other information technology and computer service activities n.e.c,"YourDataConnect, LLC",U.S.A,0.05,0.00,"Received
in the Company",
758,YOVANT LABS PRIVATE LIMITED,MAHARASHTRA,Pune,Computer consultancy and computer facilities management activities,YOVANT INC.,U.S.A,0.10,0.00,Received in the Company,
759,"ZEPHYR FINANCIAL PUBLISHERS PRIVATE
LIMITED",MAHARASHTRA,Thane,Other information service activities n.e.c.,Saravanamagesh Ganesan,U.S.A,1.81,0.02,"Received in the
Company",
760,ZETWERK MANUFACTURING BUSINESSES PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Greenoaks Capital MS LP - Gotham Light and Power Series,U.S.A,1.41,0.02,Received in the Company,
761,"ZETWERK MANUFACTURING
BUSINESSES PRIVATE LIMITED",KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Greenoaks Capital MS LP - Gotham Light and Power Series,U.S.A,26.42,0.35,Received in the Company,
762,ZETWERK MANUFACTURING BUSINESSES PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,SCI Growth Investments III,Mauritius,31.15,0.42,Received in the Company,
763,ZETWERK MANUFACTURING BUSINESSES PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Lightspeed Venture Partners Select IV Mauritius,Mauritius,23.11,0.31,Received in the Company,
764,"ZETWERK MANUFACTURING BUSINESSES PRIVATE
LIMITED",KARNATAKA,Bengaluru,Manufacture of other fabricated metal products n.e.c.,"Lightspeed India Partners II, LLC",Mauritius,1.31,0.02,Received in the Company,
765,Zomato Private Limited,DELHI,South Delhi,Other information service activities n.e.c.,Multiple Buyer,U.S.A,163.03,2.19,Received in the Company,
766,Zomato Private Limited,DELHI,South Delhi,Other information service activities n.e.c.,"FIDELITY CONTRAFUND: FIDELITY CONTRAFUND
K6",U.S.A,10.81,0.15,"Received in the
Company",
767,Zomato Private Limited,DELHI,South Delhi,Other information service activities n.e.c.,"FIDELITY MT. VERNON STREET TRUST: FIDELITY SERIES
GROWTH COMPANY FUND",U.S.A,7.51,0.10,Received in the Company,
768,ZYWIE VENTURES,CHANDIGARH,Chandigarh,Other human health activities n.e.c.,EIGHT ROADS,Bermuda,28.99,0.40,Received,
,PRIVATE LIMITED,,,(including independent ambulance activities),VENTURES INDIA III LP,,,,in the Company,
769,ZYWIE VENTURES PRIVATE LIMITED,CHANDIGARH,Chandigarh,"Other human health activities n.e.c.
(including independent ambulance activities)",Matrix Partners India Investments III LLC,Mauritius,8.69,0.12,"Received
in the Company",
770,ZYWIE VENTURES PRIVATE LIMITED,CHANDIGARH,Chandigarh,Other human health activities n.e.c. (including independent ambulance activities),Matrix Partners India Investments III LLC,Mauritius,8.69,0.12,Received in the Company,
,Grand Total,,,,,,"5,02,087.94","6,846.82",,
